PvEstimate,PeriodEnd,Period
0,2024-02-28T00:00:00Z,PT30M
0,2024-02-28T00:30:00Z,PT30M
0,2024-02-28T01:00:00Z,PT30M
0,2024-02-28T01:30:00Z,PT30M
0,2024-02-28T02:00:00Z,PT30M
0,2024-02-28T02:30:00Z,PT30M
0,2024-02-28T03:00:00Z,PT30M
0,2024-02-28T03:30:00Z,PT30M
0,2024-02-28T04:00:00Z,PT30M
0,2024-02-28T04:30:00Z,PT30M
0,2024-02-28T05:00:00Z,PT30M
0,2024-02-28T05:30:00Z,PT30M
0,2024-02-28T06:00:00Z,PT30M
0,2024-02-28T06:30:00Z,PT30M
0.0297,2024-02-28T07:00:00Z,PT30M
0.1019,2024-02-28T07:30:00Z,PT30M
0.1398,2024-02-28T08:00:00Z,PT30M
0.3746,2024-02-28T08:30:00Z,PT30M
0.3543,2024-02-28T09:00:00Z,PT30M
0.6952,2024-02-28T09:30:00Z,PT30M
0.8037,2024-02-28T10:00:00Z,PT30M
0.9612,2024-02-28T10:30:00Z,PT30M
1.093,2024-02-28T11:00:00Z,PT30M
1.2213,2024-02-28T11:30:00Z,PT30M
1.2112,2024-02-28T12:00:00Z,PT30M
1.4809,2024-02-28T12:30:00Z,PT30M
1.5417,2024-02-28T13:00:00Z,PT30M
1.3258,2024-02-28T13:30:00Z,PT30M
1.078,2024-02-28T14:00:00Z,PT30M
0.7767,2024-02-28T14:30:00Z,PT30M
0.566,2024-02-28T15:00:00Z,PT30M
0.4969,2024-02-28T15:30:00Z,PT30M
0.8892,2024-02-28T16:00:00Z,PT30M
0.1895,2024-02-28T16:30:00Z,PT30M
0.1796,2024-02-28T17:00:00Z,PT30M
0.0028,2024-02-28T17:30:00Z,PT30M
0,2024-02-28T18:00:00Z,PT30M
0,2024-02-28T18:30:00Z,PT30M
0,2024-02-28T19:00:00Z,PT30M
0,2024-02-28T19:30:00Z,PT30M
0,2024-02-28T20:00:00Z,PT30M
0,2024-02-28T20:30:00Z,PT30M
0,2024-02-28T21:00:00Z,PT30M
0,2024-02-28T21:30:00Z,PT30M
0,2024-02-28T22:00:00Z,PT30M
0,2024-02-28T22:30:00Z,PT30M
0,2024-02-28T23:00:00Z,PT30M
0,2024-02-28T23:30:00Z,PT30M
0,2024-02-29T00:00:00Z,PT30M
