air_temp,dni,ghi,period_end,period
15,0,0,2023-01-01T01:00:00Z,PT60M
15,0,0,2023-01-01T02:00:00Z,PT60M
15,0,0,2023-01-01T03:00:00Z,PT60M
15,0,0,2023-01-01T04:00:00Z,PT60M
14,0,0,2023-01-01T05:00:00Z,PT60M
14,0,0,2023-01-01T06:00:00Z,PT60M
14,0,0,2023-01-01T07:00:00Z,PT60M
13,0,0,2023-01-01T08:00:00Z,PT60M
13,0,11,2023-01-01T09:00:00Z,PT60M
13,0,46,2023-01-01T10:00:00Z,PT60M
13,26,107,2023-01-01T11:00:00Z,PT60M
13,0,103,2023-01-01T12:00:00Z,PT60M
13,0,76,2023-01-01T13:00:00Z,PT60M
13,0,60,2023-01-01T14:00:00Z,PT60M
13,0,25,2023-01-01T15:00:00Z,PT60M
12,0,2,2023-01-01T16:00:00Z,PT60M
12,0,0,2023-01-01T17:00:00Z,PT60M
11,0,0,2023-01-01T18:00:00Z,PT60M
11,0,0,2023-01-01T19:00:00Z,PT60M
11,0,0,2023-01-01T20:00:00Z,PT60M
11,0,0,2023-01-01T21:00:00Z,PT60M
12,0,0,2023-01-01T22:00:00Z,PT60M
13,0,0,2023-01-01T23:00:00Z,PT60M
13,0,0,2023-01-02T00:00:00Z,PT60M
13,0,0,2023-01-02T01:00:00Z,PT60M
13,0,0,2023-01-02T02:00:00Z,PT60M
13,0,0,2023-01-02T03:00:00Z,PT60M
13,0,0,2023-01-02T04:00:00Z,PT60M
12,0,0,2023-01-02T05:00:00Z,PT60M
12,0,0,2023-01-02T06:00:00Z,PT60M
12,0,0,2023-01-02T07:00:00Z,PT60M
11,0,0,2023-01-02T08:00:00Z,PT60M
10,0,8,2023-01-02T09:00:00Z,PT60M
10,0,33,2023-01-02T10:00:00Z,PT60M
10,0,73,2023-01-02T11:00:00Z,PT60M
10,0,60,2023-01-02T12:00:00Z,PT60M
10,0,71,2023-01-02T13:00:00Z,PT60M
10,0,58,2023-01-02T14:00:00Z,PT60M
10,0,43,2023-01-02T15:00:00Z,PT60M
9,0,5,2023-01-02T16:00:00Z,PT60M
9,0,0,2023-01-02T17:00:00Z,PT60M
8,0,0,2023-01-02T18:00:00Z,PT60M
8,0,0,2023-01-02T19:00:00Z,PT60M
8,0,0,2023-01-02T20:00:00Z,PT60M
7,0,0,2023-01-02T21:00:00Z,PT60M
7,0,0,2023-01-02T22:00:00Z,PT60M
6,0,0,2023-01-02T23:00:00Z,PT60M
6,0,0,2023-01-03T00:00:00Z,PT60M
6,0,0,2023-01-03T01:00:00Z,PT60M
5,0,0,2023-01-03T02:00:00Z,PT60M
4,0,0,2023-01-03T03:00:00Z,PT60M
4,0,0,2023-01-03T04:00:00Z,PT60M
4,0,0,2023-01-03T05:00:00Z,PT60M
5,0,0,2023-01-03T06:00:00Z,PT60M
5,0,0,2023-01-03T07:00:00Z,PT60M
6,0,1,2023-01-03T08:00:00Z,PT60M
7,31,39,2023-01-03T09:00:00Z,PT60M
8,0,36,2023-01-03T10:00:00Z,PT60M
8,16,116,2023-01-03T11:00:00Z,PT60M
9,0,107,2023-01-03T12:00:00Z,PT60M
9,320,192,2023-01-03T13:00:00Z,PT60M
9,514,171,2023-01-03T14:00:00Z,PT60M
9,233,82,2023-01-03T15:00:00Z,PT60M
8,18,11,2023-01-03T16:00:00Z,PT60M
8,0,0,2023-01-03T17:00:00Z,PT60M
8,0,0,2023-01-03T18:00:00Z,PT60M
8,0,0,2023-01-03T19:00:00Z,PT60M
8,0,0,2023-01-03T20:00:00Z,PT60M
8,0,0,2023-01-03T21:00:00Z,PT60M
8,0,0,2023-01-03T22:00:00Z,PT60M
9,0,0,2023-01-03T23:00:00Z,PT60M
9,0,0,2023-01-04T00:00:00Z,PT60M
9,0,0,2023-01-04T01:00:00Z,PT60M
9,0,0,2023-01-04T02:00:00Z,PT60M
9,0,0,2023-01-04T03:00:00Z,PT60M
9,0,0,2023-01-04T04:00:00Z,PT60M
10,0,0,2023-01-04T05:00:00Z,PT60M
10,0,0,2023-01-04T06:00:00Z,PT60M
10,0,0,2023-01-04T07:00:00Z,PT60M
11,0,0,2023-01-04T08:00:00Z,PT60M
11,0,13,2023-01-04T09:00:00Z,PT60M
11,0,19,2023-01-04T10:00:00Z,PT60M
11,0,44,2023-01-04T11:00:00Z,PT60M
12,0,58,2023-01-04T12:00:00Z,PT60M
12,0,55,2023-01-04T13:00:00Z,PT60M
12,0,54,2023-01-04T14:00:00Z,PT60M
12,0,32,2023-01-04T15:00:00Z,PT60M
12,4,5,2023-01-04T16:00:00Z,PT60M
12,0,0,2023-01-04T17:00:00Z,PT60M
12,0,0,2023-01-04T18:00:00Z,PT60M
12,0,0,2023-01-04T19:00:00Z,PT60M
12,0,0,2023-01-04T20:00:00Z,PT60M
12,0,0,2023-01-04T21:00:00Z,PT60M
11,0,0,2023-01-04T22:00:00Z,PT60M
11,0,0,2023-01-04T23:00:00Z,PT60M
