price,timestamp
-4.39,2022-12-31T00:00:00Z
-1.75,2022-12-31T01:00:00Z
-1.46,2022-12-31T02:00:00Z
-5.27,2022-12-31T03:00:00Z
-4.41,2022-12-31T04:00:00Z
-5.4,2022-12-31T05:00:00Z
-4.69,2022-12-31T06:00:00Z
-1.31,2022-12-31T07:00:00Z
-1.57,2022-12-31T08:00:00Z
-1.03,2022-12-31T09:00:00Z
-0.23,2022-12-31T10:00:00Z
-0.74,2022-12-31T11:00:00Z
-0.57,2022-12-31T12:00:00Z
-0.12,2022-12-31T13:00:00Z
0.85,2022-12-31T14:00:00Z
23.5,2022-12-31T15:00:00Z
36.54,2022-12-31T16:00:00Z
46.03,2022-12-31T17:00:00Z
36.64,2022-12-31T18:00:00Z
54.95,2022-12-31T19:00:00Z
45.83,2022-12-31T20:00:00Z
36.57,2022-12-31T21:00:00Z
45.96,2022-12-31T22:00:00Z
35.0,2022-12-31T23:00:00Z
69.92,2023-01-01T00:00:00Z
59.14,2023-01-01T01:00:00Z
52.93,2023-01-01T02:00:00Z
42.59,2023-01-01T03:00:00Z
50.08,2023-01-01T04:00:00Z
69.72,2023-01-01T05:00:00Z
105.08,2023-01-01T06:00:00Z
140.64,2023-01-01T07:00:00Z
151.89,2023-01-01T08:00:00Z
158.84,2023-01-01T09:00:00Z
145.61,2023-01-01T10:00:00Z
143.35,2023-01-01T11:00:00Z
144.38,2023-01-01T12:00:00Z
143.76,2023-01-01T13:00:00Z
148.2,2023-01-01T14:00:00Z
155.34,2023-01-01T15:00:00Z
163.3,2023-01-01T16:00:00Z
175.81,2023-01-01T17:00:00Z
174.74,2023-01-01T18:00:00Z
166.45,2023-01-01T19:00:00Z
153.0,2023-01-01T20:00:00Z
141.67,2023-01-01T21:00:00Z
134.91,2023-01-01T22:00:00Z
124.22,2023-01-01T23:00:00Z
130.01,2023-01-02T00:00:00Z
120.0,2023-01-02T01:00:00Z
118.76,2023-01-02T02:00:00Z
115.0,2023-01-02T03:00:00Z
113.63,2023-01-02T04:00:00Z
116.27,2023-01-02T05:00:00Z
138.92,2023-01-02T06:00:00Z
159.92,2023-01-02T07:00:00Z
169.17,2023-01-02T08:00:00Z
171.18,2023-01-02T09:00:00Z
168.57,2023-01-02T10:00:00Z
169.49,2023-01-02T11:00:00Z
164.5,2023-01-02T12:00:00Z
160.91,2023-01-02T13:00:00Z
163.06,2023-01-02T14:00:00Z
166.64,2023-01-02T15:00:00Z
166.64,2023-01-02T16:00:00Z
170.95,2023-01-02T17:00:00Z
168.97,2023-01-02T18:00:00Z
160.99,2023-01-02T19:00:00Z
149.62,2023-01-02T20:00:00Z
131.04,2023-01-02T21:00:00Z
114.69,2023-01-02T22:00:00Z
93.76,2023-01-02T23:00:00Z
80.17,2023-01-03T00:00:00Z
69.32,2023-01-03T01:00:00Z
39.58,2023-01-03T02:00:00Z
2.62,2023-01-03T03:00:00Z
0.85,2023-01-03T04:00:00Z
11.02,2023-01-03T05:00:00Z
61.03,2023-01-03T06:00:00Z
94.6,2023-01-03T07:00:00Z
134.16,2023-01-03T08:00:00Z
129.64,2023-01-03T09:00:00Z
120.7,2023-01-03T10:00:00Z
100.24,2023-01-03T11:00:00Z
105.03,2023-01-03T12:00:00Z
106.0,2023-01-03T13:00:00Z
105.07,2023-01-03T14:00:00Z
103.9,2023-01-03T15:00:00Z
107.98,2023-01-03T16:00:00Z
122.35,2023-01-03T17:00:00Z
139.93,2023-01-03T18:00:00Z
129.49,2023-01-03T19:00:00Z
105.89,2023-01-03T20:00:00Z
90.61,2023-01-03T21:00:00Z
87.92,2023-01-03T22:00:00Z
78.19,2023-01-03T23:00:00Z
34.78,2023-01-04T00:00:00Z
31.42,2023-01-04T01:00:00Z
33.1,2023-01-04T02:00:00Z
14.56,2023-01-04T03:00:00Z
22.19,2023-01-04T04:00:00Z
41.2,2023-01-04T05:00:00Z
78.53,2023-01-04T06:00:00Z
127.98,2023-01-04T07:00:00Z
141.02,2023-01-04T08:00:00Z
147.18,2023-01-04T09:00:00Z
149.81,2023-01-04T10:00:00Z
147.46,2023-01-04T11:00:00Z
143.17,2023-01-04T12:00:00Z
143.79,2023-01-04T13:00:00Z
151.03,2023-01-04T14:00:00Z
159.48,2023-01-04T15:00:00Z
172.73,2023-01-04T16:00:00Z
182.34,2023-01-04T17:00:00Z
194.67,2023-01-04T18:00:00Z
177.98,2023-01-04T19:00:00Z
163.99,2023-01-04T20:00:00Z
152.0,2023-01-04T21:00:00Z
144.64,2023-01-04T22:00:00Z
127.0,2023-01-04T23:00:00Z
107.21,2023-01-05T00:00:00Z
101.1,2023-01-05T01:00:00Z
96.73,2023-01-05T02:00:00Z
81.37,2023-01-05T03:00:00Z
75.64,2023-01-05T04:00:00Z
80.06,2023-01-05T05:00:00Z
97.25,2023-01-05T06:00:00Z
107.11,2023-01-05T07:00:00Z
122.94,2023-01-05T08:00:00Z
152.77,2023-01-05T09:00:00Z
158.39,2023-01-05T10:00:00Z
144.18,2023-01-05T11:00:00Z
126.89,2023-01-05T12:00:00Z
120.05,2023-01-05T13:00:00Z
134.84,2023-01-05T14:00:00Z
144.04,2023-01-05T15:00:00Z
140.12,2023-01-05T16:00:00Z
155.93,2023-01-05T17:00:00Z
163.5,2023-01-05T18:00:00Z
146.74,2023-01-05T19:00:00Z
139.39,2023-01-05T20:00:00Z
131.89,2023-01-05T21:00:00Z
129.94,2023-01-05T22:00:00Z
121.34,2023-01-05T23:00:00Z
97.3,2023-01-06T00:00:00Z
98.12,2023-01-06T01:00:00Z
94.88,2023-01-06T02:00:00Z
78.04,2023-01-06T03:00:00Z
75.43,2023-01-06T04:00:00Z
67.65,2023-01-06T05:00:00Z
74.37,2023-01-06T06:00:00Z
91.14,2023-01-06T07:00:00Z
109.89,2023-01-06T08:00:00Z
112.74,2023-01-06T09:00:00Z
99.63,2023-01-06T10:00:00Z
87.15,2023-01-06T11:00:00Z
87.17,2023-01-06T12:00:00Z
71.93,2023-01-06T13:00:00Z
89.84,2023-01-06T14:00:00Z
83.27,2023-01-06T15:00:00Z
87.76,2023-01-06T16:00:00Z
98.24,2023-01-06T17:00:00Z
101.46,2023-01-06T18:00:00Z
96.54,2023-01-06T19:00:00Z
89.32,2023-01-06T20:00:00Z
62.98,2023-01-06T21:00:00Z
51.25,2023-01-06T22:00:00Z
38.8,2023-01-06T23:00:00Z
11.4,2023-01-07T00:00:00Z
8.79,2023-01-07T01:00:00Z
8.85,2023-01-07T02:00:00Z
3.14,2023-01-07T03:00:00Z
-1.45,2023-01-07T04:00:00Z
4.09,2023-01-07T05:00:00Z
8.11,2023-01-07T06:00:00Z
13.58,2023-01-07T07:00:00Z
50.0,2023-01-07T08:00:00Z
82.57,2023-01-07T09:00:00Z
93.78,2023-01-07T10:00:00Z
103.87,2023-01-07T11:00:00Z
101.69,2023-01-07T12:00:00Z
99.0,2023-01-07T13:00:00Z
104.29,2023-01-07T14:00:00Z
100.0,2023-01-07T15:00:00Z
100.89,2023-01-07T16:00:00Z
116.0,2023-01-07T17:00:00Z
122.55,2023-01-07T18:00:00Z
109.32,2023-01-07T19:00:00Z
104.23,2023-01-07T20:00:00Z
98.6,2023-01-07T21:00:00Z
99.34,2023-01-07T22:00:00Z
81.29,2023-01-07T23:00:00Z
75.13,2023-01-08T00:00:00Z
64.38,2023-01-08T01:00:00Z
60.28,2023-01-08T02:00:00Z
39.41,2023-01-08T03:00:00Z
30.0,2023-01-08T04:00:00Z
43.99,2023-01-08T05:00:00Z
86.34,2023-01-08T06:00:00Z
160.0,2023-01-08T07:00:00Z
180.0,2023-01-08T08:00:00Z
177.19,2023-01-08T09:00:00Z
159.22,2023-01-08T10:00:00Z
160.78,2023-01-08T11:00:00Z
139.57,2023-01-08T12:00:00Z
135.0,2023-01-08T13:00:00Z
137.1,2023-01-08T14:00:00Z
149.16,2023-01-08T15:00:00Z
161.26,2023-01-08T16:00:00Z
174.11,2023-01-08T17:00:00Z
182.18,2023-01-08T18:00:00Z
171.0,2023-01-08T19:00:00Z
160.86,2023-01-08T20:00:00Z
139.01,2023-01-08T21:00:00Z
132.0,2023-01-08T22:00:00Z
108.31,2023-01-08T23:00:00Z
106.0,2023-01-09T00:00:00Z
96.74,2023-01-09T01:00:00Z
95.22,2023-01-09T02:00:00Z
90.28,2023-01-09T03:00:00Z
95.6,2023-01-09T04:00:00Z
108.6,2023-01-09T05:00:00Z
138.35,2023-01-09T06:00:00Z
156.0,2023-01-09T07:00:00Z
