PvEstimate,PeriodEnd,Period
0,2024-02-28T00:00:00Z,PT30M
0,2024-02-28T01:00:00Z,PT30M
0,2024-02-28T02:00:00Z,PT30M
0,2024-02-28T03:00:00Z,PT30M
0,2024-02-28T04:00:00Z,PT30M
0,2024-02-28T05:00:00Z,PT30M
0,2024-02-28T06:00:00Z,PT30M
0.0297,2024-02-28T07:00:00Z,PT30M
0.1398,2024-02-28T08:00:00Z,PT30M
0.3543,2024-02-28T09:00:00Z,PT30M
0.8037,2024-02-28T10:00:00Z,PT30M
1.093,2024-02-28T11:00:00Z,PT30M
1.2112,2024-02-28T12:00:00Z,PT30M
1.5417,2024-02-28T13:00:00Z,PT30M
1.078,2024-02-28T14:00:00Z,PT30M
0.566,2024-02-28T15:00:00Z,PT30M
0.8892,2024-02-28T16:00:00Z,PT30M
0.1796,2024-02-28T17:00:00Z,PT30M
0,2024-02-28T18:00:00Z,PT30M
0,2024-02-28T19:00:00Z,PT30M
0,2024-02-28T20:00:00Z,PT30M
0,2024-02-28T21:00:00Z,PT30M
0,2024-02-28T22:00:00Z,PT30M
0,2024-02-28T23:00:00Z,PT30M
