period_end,temp,GHI,DHI,DNI
2023-01-01T00:00,15.8,0.0,0.0,0.0
2023-01-01T01:00,15.0,0.0,0.0,0.0
2023-01-01T02:00,14.7,0.0,0.0,0.0
2023-01-01T03:00,14.3,0.0,0.0,0.0
2023-01-01T04:00,14.2,0.0,0.0,0.0
2023-01-01T05:00,14.5,0.0,0.0,0.0
2023-01-01T06:00,14.0,0.0,0.0,0.0
2023-01-01T07:00,13.3,0.0,0.0,0.0
2023-01-01T08:00,13.0,0.0,0.0,0.0
2023-01-01T09:00,12.9,20.0,16.0,37.6
2023-01-01T10:00,13.3,56.0,52.0,21.9
2023-01-01T11:00,13.5,117.0,104.0,52.6
2023-01-01T12:00,14.0,132.0,117.0,54.7
2023-01-01T13:00,13.5,99.0,98.0,3.8
2023-01-01T14:00,13.0,38.0,38.0,0.0
2023-01-01T15:00,12.3,18.0,18.0,0.0
2023-01-01T16:00,11.8,3.0,3.0,0.0
2023-01-01T17:00,11.4,0.0,0.0,0.0
2023-01-01T18:00,11.2,0.0,0.0,0.0
2023-01-01T19:00,11.4,0.0,0.0,0.0
2023-01-01T20:00,12.3,0.0,0.0,0.0
2023-01-01T21:00,13.4,0.0,0.0,0.0
2023-01-01T22:00,14.2,0.0,0.0,0.0
2023-01-01T23:00,14.6,0.0,0.0,0.0
2023-01-02T00:00,14.1,0.0,0.0,0.0
2023-01-02T01:00,13.6,0.0,0.0,0.0
2023-01-02T02:00,12.8,0.0,0.0,0.0
2023-01-02T03:00,12.7,0.0,0.0,0.0
2023-01-02T04:00,12.5,0.0,0.0,0.0
2023-01-02T05:00,12.2,0.0,0.0,0.0
2023-01-02T06:00,12.0,0.0,0.0,0.0
2023-01-02T07:00,11.3,0.0,0.0,0.0
2023-01-02T08:00,10.8,0.0,0.0,0.0
2023-01-02T09:00,10.2,9.0,9.0,0.0
2023-01-02T10:00,10.0,24.0,24.0,0.0
2023-01-02T11:00,10.0,43.0,42.0,4.0
2023-01-02T12:00,10.0,69.0,69.0,0.0
2023-01-02T13:00,9.8,56.0,56.0,0.0
2023-01-02T14:00,9.7,52.0,52.0,0.0
2023-01-02T15:00,9.6,54.0,47.0,54.6
2023-01-02T16:00,8.6,8.0,7.0,13.5
2023-01-02T17:00,8.1,0.0,0.0,0.0
2023-01-02T18:00,7.4,0.0,0.0,0.0
2023-01-02T19:00,7.1,0.0,0.0,0.0
2023-01-02T20:00,6.9,0.0,0.0,0.0
2023-01-02T21:00,6.6,0.0,0.0,0.0
2023-01-02T22:00,6.2,0.0,0.0,0.0
2023-01-02T23:00,5.9,0.0,0.0,0.0
2023-01-03T00:00,5.9,0.0,0.0,0.0
2023-01-03T01:00,5.0,0.0,0.0,0.0
2023-01-03T02:00,4.6,0.0,0.0,0.0
2023-01-03T03:00,4.3,0.0,0.0,0.0
2023-01-03T04:00,4.4,0.0,0.0,0.0
2023-01-03T05:00,4.5,0.0,0.0,0.0
2023-01-03T06:00,5.2,0.0,0.0,0.0
2023-01-03T07:00,5.7,0.0,0.0,0.0
2023-01-03T08:00,6.5,1.0,1.0,0.0
2023-01-03T09:00,7.1,42.0,24.0,167.9
2023-01-03T10:00,7.8,69.0,69.0,0.0
2023-01-03T11:00,8.2,78.0,74.0,16.0
2023-01-03T12:00,8.4,113.0,102.0,39.7
2023-01-03T13:00,8.6,158.0,74.0,316.0
2023-01-03T14:00,8.7,119.0,86.0,153.0
2023-01-03T15:00,8.2,75.0,42.0,253.1
2023-01-03T16:00,7.2,12.0,8.0,53.3
2023-01-03T17:00,7.0,0.0,0.0,0.0
2023-01-03T18:00,6.9,0.0,0.0,0.0
2023-01-03T19:00,7.3,0.0,0.0,0.0
2023-01-03T20:00,7.3,0.0,0.0,0.0
2023-01-03T21:00,7.5,0.0,0.0,0.0
2023-01-03T22:00,8.5,0.0,0.0,0.0
2023-01-03T23:00,8.8,0.0,0.0,0.0
2023-01-04T00:00,9.2,0.0,0.0,0.0
2023-01-04T01:00,9.4,0.0,0.0,0.0
2023-01-04T02:00,9.4,0.0,0.0,0.0
2023-01-04T03:00,9.8,0.0,0.0,0.0
2023-01-04T04:00,10.0,0.0,0.0,0.0
2023-01-04T05:00,10.4,0.0,0.0,0.0
2023-01-04T06:00,10.9,0.0,0.0,0.0
2023-01-04T07:00,11.1,0.0,0.0,0.0
2023-01-04T08:00,11.4,0.0,0.0,0.0
2023-01-04T09:00,11.5,7.0,7.0,0.0
2023-01-04T10:00,11.6,17.0,17.0,0.0
2023-01-04T11:00,11.9,19.0,19.0,0.0
2023-01-04T12:00,10.9,42.0,42.0,0.0
2023-01-04T13:00,11.2,24.0,24.0,0.0
2023-01-04T14:00,11.9,22.0,22.0,0.0
2023-01-04T15:00,11.8,30.0,30.0,0.0
2023-01-04T16:00,12.0,2.0,2.0,0.0
2023-01-04T17:00,11.4,0.0,0.0,0.0
2023-01-04T18:00,11.1,0.0,0.0,0.0
2023-01-04T19:00,10.9,0.0,0.0,0.0
2023-01-04T20:00,11.3,0.0,0.0,0.0
2023-01-04T21:00,11.0,0.0,0.0,0.0
2023-01-04T22:00,10.9,0.0,0.0,0.0
2023-01-04T23:00,10.5,0.0,0.0,0.0
2023-01-05T00:00,10.0,0.0,0.0,0.0
2023-01-05T01:00,10.3,0.0,0.0,0.0
2023-01-05T02:00,10.2,0.0,0.0,0.0
2023-01-05T03:00,9.7,0.0,0.0,0.0
2023-01-05T04:00,9.6,0.0,0.0,0.0
2023-01-05T05:00,9.8,0.0,0.0,0.0
2023-01-05T06:00,9.8,0.0,0.0,0.0
